episode,reward,steps,success,total_steps
239,0.0,48,0,12563
240,-1.0,90,0,12653
241,-1.0,60,0,12713
242,-1.0,60,0,12773
243,0.0,31,0,12804
244,0.0,103,0,12907
245,-1.0,50,0,12957
246,-1.0,60,0,13017
247,0.0,36,0,13053
248,0.0,68,0,13121
249,0.0,65,0,13186
250,-1.0,80,0,13266
251,0.0,19,0,13285
252,0.0,12,0,13297
253,-1.0,80,0,13377
254,0.0,12,0,13389
255,-1.0,70,0,13459
256,0.0,102,0,13561
257,0.0,9,0,13570
258,-1.0,110,0,13680
259,0.0,78,0,13758
260,0.0,56,0,13814
261,0.0,8,0,13822
262,-1.0,60,0,13882
263,0.0,43,0,13925
264,0.919,27,1,13952
265,0.0,4,0,13956
266,0.0,9,0,13965
267,0.0,89,0,14054
268,0.0,87,0,14141
269,0.865,45,1,14186
270,0.0,60,0,14246
271,0.0,26,0,14272
272,0.0,65,0,14337
273,-1.0,50,0,14387
274,0.0,21,0,14408
275,0.0,6,0,14414
276,0.0,47,0,14461
277,0.0,4,0,14465
278,-1.0,80,0,14545
279,0.0,10,0,14555
280,0.0,93,0,14648
281,0.0,9,0,14657
282,-1.0,50,0,14707
283,-1.0,60,0,14767
284,-1.0,60,0,14827
285,0.0,18,0,14845
286,-1.0,60,0,14905
287,0.0,5,0,14910
288,0.0,111,0,15021
289,0.0,29,0,15050
290,0.0,110,0,15160
291,0.0,17,0,15177
292,0.0,24,0,15201
293,0.733,89,1,15290
294,-1.0,60,0,15350
295,0.0,62,0,15412
296,0.0,15,0,15427
297,0.0,90,0,15517
298,-1.0,100,0,15617
299,0.0,12,0,15629
300,0.0,17,0,15646
301,-1.0,40,0,15686
302,0.0,19,0,15705
303,0.0,15,0,15720
304,0.0,35,0,15755
305,-1.0,70,0,15825
306,-1.0,60,0,15885
307,0.0,5,0,15890
308,0.0,7,0,15897
309,-1.0,120,0,16017
310,0.0,8,0,16025
311,0.0,8,0,16033
312,-1.0,10,0,16043
313,0.0,55,0,16098
314,0.0,5,0,16103
315,0.0,56,0,16159
316,0.0,20,0,16179
317,-1.0,40,0,16219
318,0.0,115,0,16334
319,0.0,21,0,16355
320,-1.0,50,0,16405
321,-1.0,50,0,16455
322,0.0,59,0,16514
323,-1.0,40,0,16554
324,0.0,115,0,16669
325,0.0,40,0,16709
326,-1.0,90,0,16799
327,0.0,8,0,16807
328,-1.0,10,0,16817
329,-1.0,50,0,16867
330,0.0,8,0,16875
331,0.0,110,0,16985
332,-1.0,60,0,17045
333,-1.0,90,0,17135
334,0.0,16,0,17151
335,0.0,45,0,17196
336,-1.0,10,0,17206
337,-1.0,40,0,17246
338,0.0,5,0,17251
339,0.0,73,0,17324
340,0.0,25,0,17349
341,0.0,18,0,17367
342,-1.0,10,0,17377
343,-1.0,80,0,17457
344,0.0,3,0,17460
345,0.0,42,0,17502
346,0.0,8,0,17510
347,0.0,47,0,17557
348,-1.0,40,0,17597
349,-1.0,30,0,17627
350,-1.0,50,0,17677
351,0.0,96,0,17773
352,-1.0,90,0,17863
353,0.0,71,0,17934
354,0.0,35,0,17969
355,-1.0,30,0,17999
356,0.0,29,0,18028
357,-1.0,100,0,18128
358,0.0,9,0,18137
359,0.0,61,0,18198
360,0.0,32,0,18230
361,0.0,43,0,18273
362,0.0,8,0,18281
363,0.0,24,0,18305
364,0.0,3,0,18308
365,0.0,52,0,18360
366,0.0,5,0,18365
367,-1.0,70,0,18435
368,0.0,63,0,18498
369,0.7929999999999999,69,1,18567
370,0.0,29,0,18596
371,0.0,47,0,18643
372,0.922,26,1,18669
373,-1.0,180,0,18849
374,-1.0,20,0,18869
375,0.0,12,0,18881
376,-1.0,50,0,18931
377,0.0,81,0,19012
378,-1.0,40,0,19052
379,-1.0,50,0,19102
380,-1.0,40,0,19142
381,-1.0,20,0,19162
382,-1.0,50,0,19212
383,0.0,3,0,19215
384,0.0,110,0,19325
385,-1.0,60,0,19385
386,-1.0,120,0,19505
387,0.0,65,0,19570
388,0.73,90,1,19660
389,-1.0,90,0,19750
390,-1.0,60,0,19810
391,0.0,16,0,19826
392,0.0,34,0,19860
393,-1.0,40,0,19900
394,0.0,52,0,19952
395,0.0,111,0,20063
396,-1.0,50,0,20113
397,0.0,27,0,20140
398,0.0,105,0,20245
399,0.0,29,0,20274
400,0.0,13,0,20287
401,0.0,13,0,20300
402,-1.0,90,0,20390
403,-1.0,10,0,20400
404,0.0,115,0,20515
405,-1.0,30,0,20545
406,-1.0,30,0,20575
407,-1.0,100,0,20675
408,-1.0,110,0,20785
409,0.0,19,0,20804
410,0.0,13,0,20817
411,0.0,5,0,20822
412,-1.0,70,0,20892
413,0.0,47,0,20939
414,0.0,4,0,20943
415,0.835,55,1,20998
416,0.0,57,0,21055
417,0.0,40,0,21095
418,0.0,7,0,21102
419,0.0,32,0,21134
420,0.0,26,0,21160
421,0.0,4,0,21164
422,-1.0,120,0,21284
423,0.0,14,0,21298
424,-1.0,10,0,21308
425,-1.0,110,0,21418
426,0.0,13,0,21431
427,0.0,78,0,21509
428,0.0,103,0,21612
429,0.0,19,0,21631
430,0.0,27,0,21658
431,0.0,42,0,21700
432,-1.0,70,0,21770
433,-1.0,30,0,21800
434,0.0,3,0,21803
435,0.0,18,0,21821
436,0.0,24,0,21845
437,0.0,3,0,21848
438,0.0,122,0,21970
439,-1.0,50,0,22020
440,0.526,158,1,22178
441,0.0,5,0,22183
442,-1.0,50,0,22233
443,0.0,15,0,22248
444,0.0,10,0,22258
445,-1.0,70,0,22328
446,0.0,150,0,22478
447,0.0,12,0,22490
448,0.0,7,0,22497
449,0.0,83,0,22580
450,0.0,77,0,22657
451,0.0,214,0,22871
452,0.0,87,0,22958
453,0.0,7,0,22965
454,0.0,21,0,22986
455,-1.0,30,0,23016
456,0.0,16,0,23032
457,0.0,49,0,23081
458,0.0,3,0,23084
459,-1.0,20,0,23104
460,0.0,25,0,23129
461,-1.0,10,0,23139
462,0.0,129,0,23268
463,0.0,73,0,23341
464,-1.0,120,0,23461
465,-1.0,120,0,23581
466,0.874,42,1,23623
467,0.0,23,0,23646
468,0.0,39,0,23685
469,0.0,146,0,23831
470,0.0,45,0,23876
471,-1.0,110,0,23986
472,0.0,118,0,24104
473,-1.0,90,0,24194
474,0.0,85,0,24279
475,0.0,86,0,24365
476,-1.0,110,0,24475
477,-1.0,70,0,24545
478,0.0,3,0,24548
479,0.0,80,0,24628
480,0.0,3,0,24631
481,-1.0,70,0,24701
482,-1.0,70,0,24771
483,0.0,26,0,24797
484,-1.0,50,0,24847
485,-1.0,20,0,24867
486,-1.0,40,0,24907
487,-1.0,20,0,24927
488,0.0,118,0,25045
489,-1.0,90,0,25135
490,0.0,8,0,25143
491,0.0,49,0,25192
492,0.0,3,0,25195
493,0.0,46,0,25241
494,-1.0,20,0,25261
495,-1.0,90,0,25351
496,-1.0,120,0,25471
497,-1.0,10,0,25481
498,0.0,45,0,25526
499,-1.0,50,0,25576
500,0.859,47,1,25623
501,-1.0,80,0,25703
502,-1.0,120,0,25823
503,-1.0,110,0,25933
504,0.0,39,0,25972
505,0.0,5,0,25977
506,0.0,53,0,26030
507,0.0,89,0,26119
508,0.0,64,0,26183
509,0.0,49,0,26232
510,0.0,16,0,26248
511,-1.0,20,0,26268
512,0.0,30,0,26298
513,0.0,46,0,26344
514,0.0,91,0,26435
515,0.0,18,0,26453
516,0.79,70,1,26523
517,0.0,32,0,26555
518,0.0,64,0,26619
519,-1.0,120,0,26739
520,-1.0,10,0,26749
521,0.0,81,0,26830
522,0.0,25,0,26855
523,-1.0,60,0,26915
524,0.0,65,0,26980
525,0.0,40,0,27020
526,-1.0,100,0,27120
527,0.0,84,0,27204
528,-1.0,40,0,27244
529,0.0,187,0,27431
530,0.0,79,0,27510
531,-1.0,10,0,27520
532,-1.0,80,0,27600
533,-1.0,90,0,27690
534,-1.0,50,0,27740
535,-1.0,70,0,27810
536,-1.0,60,0,27870
537,0.0,15,0,27885
538,0.0,5,0,27890
539,-1.0,40,0,27930
540,0.0,71,0,28001
541,0.856,48,1,28049
542,-1.0,20,0,28069
543,0.0,5,0,28074
544,0.0,16,0,28090
545,-1.0,60,0,28150
546,0.0,48,0,28198
547,-1.0,100,0,28298
548,-1.0,90,0,28388
549,0.0,3,0,28391
550,-1.0,70,0,28461
551,-1.0,40,0,28501
552,-1.0,70,0,28571
553,-1.0,90,0,28661
554,0.0,128,0,28789
555,0.0,15,0,28804
556,0.0,5,0,28809
557,0.0,28,0,28837
558,0.0,5,0,28842
559,0.0,48,0,28890
560,0.0,32,0,28922
561,-1.0,50,0,28972
562,-1.0,30,0,29002
563,0.0,25,0,29027
564,0.0,91,0,29118
565,0.0,27,0,29145
566,-1.0,40,0,29185
567,0.0,37,0,29222
568,-1.0,10,0,29232
569,-1.0,120,0,29352
570,0.0,71,0,29423
571,0.0,78,0,29501
572,0.0,27,0,29528
573,-1.0,50,0,29578
574,0.0,23,0,29601
575,-1.0,90,0,29691
576,0.0,93,0,29784
577,0.0,173,0,29957
578,0.0,9,0,29966
579,0.0,74,0,30040
580,-1.0,100,0,30140
581,0.0,119,0,30259
582,-1.0,40,0,30299
583,-1.0,30,0,30329
584,0.0,85,0,30414
585,0.0,29,0,30443
586,0.0,12,0,30455
587,0.76,80,1,30535
588,0.0,18,0,30553
589,0.0,7,0,30560
590,0.0,5,0,30565
591,0.0,27,0,30592
592,0.0,102,0,30694
593,-1.0,60,0,30754
594,0.0,6,0,30760
595,-1.0,50,0,30810
596,0.0,5,0,30815
597,0.0,115,0,30930
598,0.0,168,0,31098
599,0.0,38,0,31136
600,-1.0,30,0,31166
601,0.0,7,0,31173
602,0.0,63,0,31236
603,0.0,42,0,31278
604,0.0,65,0,31343
605,0.0,147,0,31490
606,-1.0,100,0,31590
607,-1.0,50,0,31640
608,0.0,105,0,31745
609,0.0,29,0,31774
610,0.862,46,1,31820
611,0.0,75,0,31895
612,-1.0,90,0,31985
613,0.643,119,1,32104
614,0.0,110,0,32214
615,0.0,21,0,32235
616,-1.0,50,0,32285
617,0.0,43,0,32328
618,-1.0,40,0,32368
619,-1.0,30,0,32398
620,0.0,28,0,32426
621,-1.0,170,0,32596
622,0.0,101,0,32697
623,0.0,48,0,32745
624,0.7090000000000001,97,1,32842
625,-1.0,80,0,32922
626,0.0,26,0,32948
627,0.0,79,0,33027
628,-1.0,80,0,33107
629,-1.0,90,0,33197
630,0.0,37,0,33234
631,0.0,21,0,33255
632,0.0,13,0,33268
633,0.0,7,0,33275
634,-1.0,50,0,33325
635,-1.0,50,0,33375
636,-1.0,160,0,33535
637,0.739,87,1,33622
638,-1.0,20,0,33642
639,0.679,107,1,33749
640,0.865,45,1,33794
641,0.0,49,0,33843
642,0.0,5,0,33848
643,0.0,31,0,33879
644,0.0,32,0,33911
645,0.0,42,0,33953
646,0.0,18,0,33971
647,-1.0,90,0,34061
648,0.0,23,0,34084
649,0.0,155,0,34239
650,-1.0,120,0,34359
651,0.0,130,0,34489
652,0.0,8,0,34497
653,0.0,58,0,34555
654,0.0,28,0,34583
655,0.0,33,0,34616
656,0.0,23,0,34639
657,0.0,31,0,34670
658,0.0,6,0,34676
659,0.0,195,0,34871
660,-1.0,120,0,34991
661,0.0,9,0,35000
662,0.0,7,0,35007
663,0.0,35,0,35042
664,-1.0,100,0,35142
665,0.0,46,0,35188
666,0.0,9,0,35197
667,0.0,20,0,35217
668,0.0,3,0,35220
669,0.0,26,0,35246
670,-1.0,190,0,35436
671,0.0,37,0,35473
672,-1.0,110,0,35583
673,0.0,17,0,35600
674,-1.0,70,0,35670
675,-1.0,190,0,35860
676,0.0,14,0,35874
677,-1.0,190,0,36064
678,0.0,173,0,36237
679,-1.0,50,0,36287
680,-1.0,110,0,36397
681,-1.0,180,0,36577
682,-1.0,40,0,36617
683,0.0,11,0,36628
684,0.0,32,0,36660
