episode,reward,steps,success,total_steps,epsilon
186,1.18,15,1,3333,0.1
187,1.188,13,1,3346,0.1
188,1.188,13,1,3359,0.1
189,1.188,13,1,3372,0.1
190,1.172,17,1,3389,0.1
191,1.172,17,1,3406,0.1
192,1.188,13,1,3419,0.1
193,1.188,13,1,3432,0.1
194,1.172,17,1,3449,0.1
195,1.188,13,1,3462,0.1
196,1.188,13,1,3475,0.1
197,1.18,15,1,3490,0.1
198,1.188,13,1,3503,0.1
199,1.172,17,1,3520,0.1
