episode,reward,steps,success,total_steps
207,-1.0250000000000001,46,0,11673
208,-0.9670000000000001,28,0,11701
209,-0.9400000000000001,21,0,11722
210,-0.9690000000000001,70,0,11792
211,-0.92,81,0,11873
212,-0.974,15,0,11888
213,-0.922,63,0,11951
214,-0.9530000000000001,14,0,11965
215,-1.014,35,0,12000
216,0.9879999999999999,63,1,12063
217,-0.971,32,0,12095
218,-1.022,123,0,12218
219,-0.987,8,0,12226
220,0.96,70,1,12296
221,-1.0250000000000001,46,0,12342
222,-1.1680000000000001,189,0,12531
223,-0.994,15,0,12546
224,-0.982,3,0,12549
225,-1.0,21,0,12570
226,-0.9460000000000001,107,0,12677
227,-0.9440000000000001,65,0,12742
228,-0.984,5,0,12747
229,-0.9930000000000001,134,0,12881
230,-0.984,5,0,12886
231,-0.994,15,0,12901
232,-1.006,27,0,12928
233,-0.9470000000000001,28,0,12956
234,-1.0510000000000002,92,0,13048
235,-0.982,3,0,13051
236,-0.982,3,0,13054
237,-1.012,133,0,13187
238,-1.1820000000000002,243,0,13430
239,-0.907,28,0,13458
240,-0.968,9,0,13467
241,-0.98,41,0,13508
242,0.9359999999999999,76,1,13584
243,-0.862,23,0,13607
244,0.8479999999999999,98,1,13705
245,-0.901,62,0,13767
246,0.984,64,1,13831
247,-0.999,20,0,13851
248,0.6799999999999999,140,1,13991
249,-0.18000000000000022,300,0,14291
250,0.9119999999999999,82,1,14373
251,-1.08,181,0,14554
252,0.988,63,1,14617
253,-0.9710000000000001,72,0,14689
254,-0.996,17,0,14706
255,-0.9510000000000001,32,0,14738
256,-1.0010000000000001,22,0,14760
257,-0.993,14,0,14774
258,-0.996,37,0,14811
259,-0.993,14,0,14825
260,-1.042,63,0,14888
261,0.7039999999999998,134,1,15022
262,-1.116,137,0,15159
263,-0.9670000000000001,28,0,15187
264,-0.968,9,0,15196
265,-0.984,5,0,15201
266,-0.9460000000000001,107,0,15308
267,-1.0490000000000002,190,0,15498
268,-0.966,47,0,15545
269,-1.048,149,0,15694
270,-0.10000000000000021,300,0,15994
271,-1.0010000000000001,22,0,16016
272,-0.962,23,0,16039
273,0.39999999999999986,210,1,16249
274,1.076,41,1,16290
275,-0.911,32,0,16322
276,0.712,132,1,16454
277,-0.915,16,0,16470
278,-1.1740000000000002,255,0,16725
279,-0.992,13,0,16738
280,0.8879999999999999,88,1,16826
281,-0.966,7,0,16833
282,1.1320000000000001,27,1,16860
283,0.5759999999999998,166,1,17026
284,-0.984,5,0,17031
285,-0.9470000000000001,68,0,17099
286,1.016,56,1,17155
287,-0.9590000000000001,40,0,17195
288,-0.893,34,0,17229
289,-0.998,19,0,17248
290,-0.982,3,0,17251
291,0.7479999999999999,123,1,17374
292,-0.986,67,0,17441
293,-0.981,22,0,17463
294,-1.0370000000000001,158,0,17621
295,-0.994,55,0,17676
296,-0.99,11,0,17687
297,-0.924,25,0,17712
298,-0.9490000000000001,10,0,17722
299,-0.888,29,0,17751
300,-0.9960000000000001,97,0,17848
301,-1.024,145,0,17993
302,-0.9290000000000002,90,0,18083
303,-0.993,14,0,18097
304,-0.28000000000000025,300,0,18397
305,0.944,74,1,18471
306,0.852,97,1,18568
307,-0.9450000000000001,26,0,18594
308,-1.06,141,0,18735
309,-0.9550000000000001,36,0,18771
310,0.7319999999999999,127,1,18898
311,-0.1400000000000002,300,0,19198
312,0.796,111,1,19309
313,-0.99,11,0,19320
314,-0.24000000000000019,300,0,19620
315,1.02,55,1,19675
316,-0.929,50,0,19725
317,-1.217,278,0,20003
318,-1.0110000000000001,112,0,20115
319,-0.982,3,0,20118
320,-0.9390000000000001,40,0,20158
321,1.052,47,1,20205
322,0.3079999999999999,233,1,20438
323,-1.0170000000000001,38,0,20476
324,-1.0160000000000002,177,0,20653
325,-0.953,14,0,20667
326,-0.979,40,0,20707
327,-0.9770000000000001,118,0,20825
328,-0.983,4,0,20829
329,0.572,167,1,20996
330,-1.0110000000000001,52,0,21048
331,0.9879999999999999,63,1,21111
332,0.596,161,1,21272
333,0.4439999999999999,199,1,21471
334,0.9959999999999999,61,1,21532
335,-0.995,36,0,21568
336,-0.987,8,0,21576
337,-0.968,9,0,21585
338,0.6399999999999999,150,1,21735
339,-0.933,14,0,21749
340,-0.898,39,0,21788
341,0.22799999999999987,253,1,22041
342,0.9159999999999999,81,1,22122
343,0.984,64,1,22186
344,-0.992,13,0,22199
345,0.8239999999999998,104,1,22303
346,-0.901,22,0,22325
347,0.8200000000000001,105,1,22430
348,-0.955,16,0,22446
349,0.9999999999999999,60,1,22506
350,-1.0330000000000001,54,0,22560
