episode,reward,steps,success,total_steps,epsilon
187,0.961,13,1,7226,0.1
188,0.955,15,1,7241,0.1
189,0.955,15,1,7256,0.1
190,0.961,13,1,7269,0.1
191,0.961,13,1,7282,0.1
192,0.961,13,1,7295,0.1
193,0.94,20,1,7315,0.1
194,0.955,15,1,7330,0.1
195,0.961,13,1,7343,0.1
196,0.961,13,1,7356,0.1
197,0.961,13,1,7369,0.1
198,0.961,13,1,7382,0.1
199,0.955,15,1,7397,0.1
