episode,reward,steps,success,total_steps,epsilon
187,1.18,15,1,3398,0.1
188,1.164,19,1,3417,0.1
189,1.188,13,1,3430,0.1
190,1.188,13,1,3443,0.1
191,1.176,16,1,3459,0.1
192,1.188,13,1,3472,0.1
193,1.188,13,1,3485,0.1
194,1.18,15,1,3500,0.1
195,1.188,13,1,3513,0.1
196,1.188,13,1,3526,0.1
197,1.18,15,1,3541,0.1
198,1.188,13,1,3554,0.1
199,1.188,13,1,3567,0.1
